,date,time,latitude,longitude,distance,speed,heart_rate,cadence,enhanced_speed,enhanced_altitude,fractional_cadence
162,11/6/22,14:58:05,40.60912728,-74.03707738,2122.02,NA,174,80,3.135,65.6,0
163,11/6/22,14:58:06,40.60913868,-74.03704151,2125.31,NA,174,81,3.135,65.2,0
164,11/6/22,14:58:13,40.60920959,-74.03680572,2146.76,NA,175,81,3.144,63.6,0
165,11/6/22,14:58:17,40.6092339,-74.03670531,2155.65,NA,174,81,3.107,63.8,0
166,11/6/22,14:58:23,40.60930984,-74.03647891,2176.59,NA,172,81,3.098,63.8,0
167,11/6/22,14:58:27,40.60935485,-74.03632921,2190.21,NA,172,80,3.154,63,0
168,11/6/22,14:58:34,40.60944286,-74.03608094,2213.38,NA,170,80,3.247,60.4,0
169,11/6/22,14:58:36,40.60946155,-74.03601305,2219.48,NA,169,81,3.256,60,0
170,11/6/22,14:58:40,40.60951143,-74.03586762,2232.97,NA,166,80,3.256,58.8,0
171,11/6/22,14:58:46,40.60958007,-74.03564391,2253.39,NA,164,81,3.266,57.4,0
172,11/6/22,14:58:53,40.60966574,-74.03539555,2276.45,NA,163,80,3.284,56.2,0
173,11/6/22,14:58:54,40.60967722,-74.03536186,2279.57,NA,163,80,3.284,56,0
174,11/6/22,14:59:01,40.60975794,-74.03511845,2302.04,NA,164,80,3.266,55.4,0
175,11/6/22,14:59:03,40.60977805,-74.03504812,2308.4,NA,164,80,3.266,55.4,0
176,11/6/22,14:59:10,40.60985416,-74.0348022,2330.84,NA,166,81,3.256,55.6,0
177,11/6/22,14:59:13,40.60988517,-74.03469617,2340.46,NA,166,80,3.256,55.4,0
178,11/6/22,14:59:16,40.60991577,-74.03459868,2349.39,NA,163,80,3.256,55,0
179,11/6/22,14:59:17,40.60992901,-74.03456566,2352.55,NA,166,80,3.247,55,0
180,11/6/22,14:59:20,40.6099638,-74.03445778,2362.46,NA,166,80,3.247,54.4,0
181,11/6/22,14:59:25,40.6100187,-74.03427816,2378.83,NA,163,80,3.238,54,0
182,11/6/22,14:59:28,40.61004594,-74.03417414,2388.12,NA,163,80,3.247,54.4,0
183,11/6/22,14:59:35,40.61011333,-74.03393568,2409.63,NA,164,80,3.247,54.8,0
184,11/6/22,14:59:39,40.61015172,-74.03379729,2422.08,NA,163,79,3.238,53.6,0
185,11/6/22,14:59:46,40.61023286,-74.03355539,2444.45,NA,164,80,3.238,51.2,0
186,11/6/22,14:59:49,40.61027544,-74.0334569,2454.04,NA,165,79,3.247,50.8,0
187,11/6/22,14:59:56,40.61036621,-74.03321676,2476.73,NA,168,79,3.238,51,0
188,11/6/22,14:59:57,40.6103792,-74.03317954,2480.2,NA,168,79,3.238,51,0
189,11/6/22,15:00:04,40.61046856,-74.0329368,2503.01,NA,169,79,3.228,51,0
190,11/6/22,15:00:06,40.61049764,-74.03286992,2509.52,NA,170,80,3.238,50.8,0
191,11/6/22,15:00:13,40.61058372,-74.03262852,2532.06,NA,170,80,3.256,49.6,0
192,11/6/22,15:00:14,40.61059504,-74.03259222,2535.38,NA,170,80,3.256,49.4,0
193,11/6/22,15:00:20,40.61067014,-74.03237388,2555.65,NA,170,80,3.266,49,0
194,11/6/22,15:00:23,40.61070886,-74.03227338,2565.18,NA,171,80,3.275,49,0
195,11/6/22,15:00:30,40.61080492,-74.03203466,2588.03,NA,171,80,3.284,47.6,0
196,11/6/22,15:00:31,40.61081816,-74.03200189,2591.17,NA,171,80,3.284,47.4,0
197,11/6/22,15:00:38,40.61093098,-74.03178002,2613.77,NA,170,80,3.294,46.8,0
198,11/6/22,15:00:42,40.61100072,-74.03166435,2626.25,NA,172,80,3.294,46.8,0
